PreType	PostType	AvgSyns	TotalSyns	NumPreCell	NumPostCell
EC	BC	12.127660	2850.000000	20	2
EC	AAC	20.000000	4700.000000	20	1
CA3	BC	65.957447	15500.000000	100	2
CA3	AAC	100.000000	23500.000000	100	1
CA3	BSC	100.000000	23500.000000	100	1
SEP	BC	48.297872	11350.000000	10	2
SEP	AAC	10.000000	2350.000000	10	1
SEP	BSC	10.000000	2350.000000	10	1
SEP	OLM	10.000000	2350.000000	10	1
PC	PC	1.000000	235.000000	100	100
PC	BC	57.872340	13600.000000	100	2
PC	AAC	100.000000	23500.000000	100	1
PC	BSC	100.000000	23500.000000	100	1
PC	OLM	100.000000	23500.000000	100	1
BC	PC	2.000000	470.000000	2	100
BC	BC	1.425532	335.000000	2	2
BC	BSC	1.561702	367.000000	2	1
AAC	PC	1.000000	235.000000	1	100
BSC	PC	1.000000	235.000000	1	100
BSC	PC	1.000000	235.000000	1	100
BSC	BC	1.000000	235.000000	1	2
OLM	PC	1.000000	235.000000	1	100
OLM	PC	1.000000	235.000000	1	100
